Time,Density (kg/m³),Resin Loading (g/m²),Temperature (°C),Moisture Content (%),Press Pressure (bar),Press Time (sec),Particle Size (mm),Resin Type,IB (MPa),MOR (MPa),TS (%),Outside Temperature (°C),Sawdust Humidity (%),Curing Time (sec),Cooling Time (sec),Cutting Speed (m/min),Warehouse Humidity (%),Material Waste (%),Energy Consumption (kWh),Wood Species Mix Ratio,Resin Hardener Ratio,Press Closure Speed (mm/s),Hot Press Plate Surface Temperature (°C),Pre-press Mat Moisture Content (%),Post-press Board Cooling Rate (°C/min),Dust Extraction Efficiency (%),Resin Penetration Depth (mm),Mat Forming Consistency (%),Board Edge Integrity (rating),Trim Waste Percentage (%),Additive Dosage (g/kg),Screening Efficiency (%),Blending Time for Particles and Resin (min),Mat Pre-heating Temperature (°C),Compression Ratio,Panel Surface Roughness (μm),Formaldehyde Scavenger Addition (g/kg),Sawdust Particle Distribution Uniformity (rating)
2022-04-29,775.78,288.72,215.3,9.53,392.14,30.72,2.82,Phenol-formaldehyde,0.54,49.92,20.52,6.1,8.68,152.19,82.51,88.41,45.96,1.1,1310.67,0.28,0.017,18.46,209.6,6.33,2.38,93.6,2.3,93.6,Poor,1.89,18.74,86.2,5.6,81.2,1.53,64.0,4.62,Non-uniform
2022-07-02,723.1,295.42,229.24,6.07,317.81,23.35,2.17,Urea-formaldehyde,0.77,47.13,16.4,-2.72,14.98,95.3,39.15,80.15,44.76,3.69,533.91,0.25,0.042,17.18,205.1,6.48,4.15,96.3,3.14,93.7,Good,0.74,17.42,95.4,11.6,90.5,2.36,83.0,1.69,Uniform
2022-09-19,719.72,135.09,209.52,8.43,320.65,30.23,2.6,Phenol-formaldehyde,0.76,25.81,23.86,-2.21,12.39,84.04,61.7,59.8,40.33,0.41,1410.13,0.49,0.036,15.99,195.6,10.94,4.11,91.0,2.82,90.7,Excellent,3.25,11.24,85.4,10.6,87.3,1.78,78.0,6.08,Uniform
2022-04-27,608.98,203.59,181.12,10.03,314.37,34.78,1.07,Phenol-formaldehyde,0.4,24.7,13.91,-0.56,12.77,168.28,56.2,93.67,43.17,1.74,602.63,0.85,0.034,11.48,199.3,11.36,2.11,95.0,3.09,95.4,Excellent,4.57,10.47,89.3,15.0,111.6,1.55,38.0,6.2,Uniform
2022-11-05,642.93,271.16,201.77,10.46,308.06,30.72,1.16,Melamine,0.72,43.15,9.93,24.96,8.47,69.93,45.51,77.67,49.42,3.77,1331.73,0.37,0.045,7.77,208.6,11.7,2.08,95.2,4.01,97.3,Excellent,1.1,14.9,85.3,12.9,96.2,2.27,33.0,0.15,Uniform
2022-08-28,643.45,212.03,205.45,10.16,313.32,24.74,2.72,Melamine,0.47,29.21,15.89,8.13,11.86,117.59,42.01,70.84,41.26,1.15,1172.95,0.88,0.038,14.84,196.5,7.68,1.76,95.3,4.58,99.2,Poor,0.43,9.1,92.2,12.5,97.3,1.75,64.0,5.1,Uniform
2022-09-21,628.06,237.7,224.57,5.96,302.56,32.89,2.96,Melamine,0.66,44.09,13.0,16.52,12.6,131.54,85.18,76.4,32.23,0.38,1124.14,0.41,0.012,8.79,208.6,10.4,1.12,91.3,3.09,99.7,Fair,3.7,11.16,81.7,11.0,112.7,2.67,46.0,4.05,Non-uniform
2022-12-29,730.1,293.11,201.43,10.66,373.18,20.93,2.35,Urea-formaldehyde,0.53,26.45,10.27,18.75,6.03,81.42,68.41,59.14,46.66,1.88,1302.16,0.81,0.011,13.54,202.7,10.02,1.07,95.2,4.11,96.7,Good,3.28,7.52,98.8,10.8,98.2,2.57,98.0,5.75,Uniform
2022-01-20,729.04,239.37,211.75,6.01,342.34,34.56,2.88,Melamine,0.51,46.91,14.67,15.57,12.7,107.69,72.27,62.26,40.29,4.91,1113.28,0.13,0.035,7.45,192.6,7.72,4.68,97.9,3.42,90.4,Good,1.09,18.99,90.2,5.3,86.5,2.48,64.0,0.75,Non-uniform
2022-03-02,721.86,129.14,202.26,5.8,389.32,24.14,2.49,Urea-formaldehyde,0.52,38.04,23.72,14.78,14.6,149.56,38.57,62.04,40.26,3.94,975.81,0.24,0.05,7.47,203.7,11.11,3.54,95.7,3.89,94.4,Good,2.35,14.91,89.4,10.5,87.3,2.29,79.0,0.7,Non-uniform
2022-06-29,706.52,189.07,188.74,6.15,336.93,30.45,1.52,Melamine,0.68,31.77,21.31,20.31,9.22,69.91,48.35,97.26,31.39,1.5,576.57,0.52,0.024,6.15,227.1,11.82,2.62,95.7,4.18,99.6,Fair,4.39,18.23,82.7,7.3,81.6,1.75,76.0,1.9,Non-uniform
2022-08-19,799.61,115.5,190.29,10.4,342.77,30.08,1.3,Melamine,0.7,22.79,14.38,31.67,9.37,106.99,61.87,75.55,44.43,3.19,1005.52,0.96,0.024,18.14,226.1,5.74,3.63,95.8,2.21,95.3,Fair,0.91,16.33,97.5,14.6,111.9,1.61,49.0,2.66,Non-uniform
2022-12-14,626.25,151.4,215.87,11.68,309.5,38.56,1.59,Urea-formaldehyde,0.55,43.81,16.26,8.97,6.62,123.29,89.18,77.56,45.04,2.17,1446.32,0.88,0.031,16.08,220.8,6.5,3.01,91.1,4.51,95.2,Fair,0.88,12.23,93.7,5.2,89.9,2.46,77.0,3.97,Uniform
2022-07-16,661.91,104.85,206.73,7.91,344.2,25.06,1.59,Urea-formaldehyde,0.69,47.52,22.84,12.05,12.45,128.66,83.21,54.71,40.75,2.9,1052.9,0.6,0.044,13.4,182.5,8.18,3.31,92.7,3.25,91.6,Good,2.27,16.88,80.4,11.2,95.3,1.8,10.0,5.62,Uniform
2022-03-12,690.6,280.67,207.46,7.98,351.64,21.36,2.84,Urea-formaldehyde,0.45,23.24,15.3,-3.6,9.71,100.93,53.77,66.68,42.69,1.68,1304.99,0.24,0.018,14.14,182.6,5.01,3.32,95.6,2.65,95.3,Poor,3.07,4.73,87.7,5.2,88.0,1.8,33.0,0.89,Uniform
2022-01-29,714.67,139.55,216.3,8.12,371.7,22.84,0.55,Phenol-formaldehyde,0.39,23.67,22.48,7.21,5.53,71.35,78.06,87.3,49.61,1.69,1055.96,0.87,0.041,16.58,201.3,11.5,3.96,91.6,4.69,92.0,Fair,3.43,4.99,88.8,12.7,85.3,2.2,16.0,8.04,Non-uniform
2022-05-26,679.71,250.13,208.36,7.07,360.98,37.16,1.37,Urea-formaldehyde,0.68,48.36,17.94,-4.31,13.53,99.89,72.06,86.14,47.16,4.88,1231.37,0.13,0.03,10.5,219.5,11.05,3.1,92.0,3.5,95.2,Good,0.05,4.53,80.9,14.0,96.9,2.51,68.0,6.9,Uniform
2022-07-28,651.95,156.58,196.01,8.64,314.09,32.45,1.3,Melamine,0.35,24.98,15.69,9.0,7.36,139.78,53.64,65.12,43.42,4.01,1376.8,0.28,0.04,6.99,187.9,7.69,1.97,95.6,2.16,96.7,Good,4.84,15.0,81.5,5.3,97.1,2.78,90.0,0.38,Non-uniform
2022-04-21,633.47,138.53,197.83,5.62,362.49,29.06,0.72,Melamine,0.33,33.12,8.48,1.1,12.8,134.13,88.71,55.07,35.54,4.01,547.73,0.16,0.035,5.5,214.8,9.42,4.77,98.4,2.83,96.7,Excellent,3.3,18.89,81.6,9.4,110.6,2.93,93.0,9.18,Uniform
2022-03-29,629.54,265.43,222.6,8.35,321.48,29.6,2.35,Urea-formaldehyde,0.5,45.73,23.88,10.67,13.8,76.89,34.5,68.12,39.77,3.44,816.46,0.91,0.028,17.39,210.7,9.26,2.17,92.1,3.1,93.7,Excellent,1.99,15.7,89.6,14.7,96.6,2.91,86.0,2.26,Uniform
2022-07-27,756.72,112.23,214.74,7.06,348.68,39.39,1.95,Urea-formaldehyde,0.42,32.68,23.08,24.56,13.72,167.89,69.64,77.95,38.84,2.58,509.7,0.18,0.038,7.69,188.2,5.93,4.5,90.6,3.3,97.4,Excellent,3.23,20.0,98.2,12.6,82.4,2.42,51.0,0.32,Uniform
2022-03-17,712.11,182.34,211.04,5.65,363.08,25.79,1.1,Urea-formaldehyde,0.59,32.91,21.77,22.25,11.92,165.86,88.13,71.93,34.51,1.87,1153.12,0.37,0.028,10.65,210.3,10.44,1.34,90.8,2.6,94.5,Good,3.37,8.23,83.5,11.4,89.4,2.07,83.0,0.02,Uniform
2022-06-29,700.97,197.94,197.18,7.42,347.86,20.96,1.69,Melamine,0.77,37.71,8.47,-4.06,14.41,109.47,45.89,60.43,35.15,4.91,986.25,0.33,0.021,18.53,185.6,7.84,4.49,97.8,3.48,92.9,Poor,4.07,10.96,85.9,9.8,110.8,2.82,41.0,0.48,Non-uniform
2022-05-31,635.88,221.88,198.12,8.56,384.89,36.08,0.91,Phenol-formaldehyde,0.31,33.35,17.64,28.72,11.57,148.85,86.6,92.45,40.86,0.63,605.08,0.7,0.025,15.86,226.3,8.13,2.53,97.0,4.19,95.9,Fair,4.52,11.84,87.3,5.2,109.0,1.51,79.0,6.44,Uniform
2022-03-18,639.0,147.05,209.65,9.6,312.07,37.31,1.22,Melamine,0.49,34.13,16.25,17.73,12.75,74.69,53.62,76.2,33.27,4.37,1403.15,0.74,0.037,14.4,213.4,11.17,2.71,98.7,1.97,99.4,Poor,0.52,5.58,87.9,5.5,92.8,2.42,39.0,3.84,Non-uniform
2022-03-27,763.3,231.67,193.69,7.89,378.52,30.68,2.81,Phenol-formaldehyde,0.53,38.47,15.74,8.95,6.34,160.72,53.56,90.63,31.23,0.57,1388.85,0.14,0.033,12.63,188.2,10.25,1.58,98.9,1.88,94.7,Fair,4.28,19.98,98.9,7.1,89.7,2.34,46.0,1.27,Uniform
2022-05-31,768.81,240.54,209.05,8.16,305.7,30.57,2.45,Melamine,0.76,20.44,19.26,0.99,13.46,125.0,52.82,95.68,40.74,4.01,1377.11,0.13,0.031,15.42,209.3,11.72,1.6,92.7,3.06,93.7,Good,4.11,15.16,81.9,13.9,104.4,1.69,97.0,3.06,Non-uniform
2022-09-01,710.0,294.06,211.59,5.65,369.69,31.33,2.56,Melamine,0.71,46.49,24.35,6.72,10.37,108.33,44.72,90.57,46.22,1.12,906.68,0.29,0.027,10.27,195.2,9.71,2.39,97.6,2.77,96.7,Fair,4.22,7.63,92.0,11.6,82.3,2.28,31.0,8.02,Non-uniform
2022-03-04,748.74,198.43,198.38,8.52,388.0,30.34,0.74,Phenol-formaldehyde,0.32,33.43,10.52,-3.15,14.37,68.9,32.85,92.92,30.69,4.24,677.71,0.45,0.011,7.35,209.0,10.6,3.98,98.8,2.02,97.6,Good,1.86,6.82,94.2,13.5,88.9,1.97,88.0,7.72,Non-uniform
2022-09-06,634.27,293.07,222.48,10.92,351.04,20.52,1.84,Phenol-formaldehyde,0.33,31.25,22.01,22.42,7.85,167.81,79.42,79.62,46.86,3.0,1251.56,0.57,0.038,8.15,217.7,10.79,1.81,98.1,4.76,93.3,Good,0.5,9.06,92.0,11.0,84.0,2.5,98.0,4.51,Uniform
2022-05-14,781.89,255.6,212.41,7.71,311.23,28.45,2.67,Phenol-formaldehyde,0.52,40.13,12.55,7.11,10.03,145.21,73.55,55.74,31.57,1.52,735.4,0.67,0.042,18.13,203.1,8.47,4.58,96.7,3.62,96.3,Poor,0.31,13.11,80.6,10.1,101.2,1.89,21.0,9.08,Non-uniform
2022-02-23,697.47,217.87,180.78,11.57,345.43,31.23,0.6,Phenol-formaldehyde,0.74,23.56,9.41,7.0,6.74,75.89,57.67,76.04,31.13,1.79,877.88,0.19,0.044,11.96,226.8,10.79,1.65,93.0,3.6,92.6,Excellent,1.55,12.1,87.3,13.8,115.4,2.1,92.0,0.45,Non-uniform
2022-03-21,606.02,231.21,198.58,5.62,360.56,29.8,1.61,Melamine,0.33,42.7,16.74,22.73,8.84,148.29,89.14,70.93,42.44,3.36,1150.48,0.96,0.043,16.45,200.3,6.6,1.9,93.9,4.53,98.7,Good,4.21,11.25,81.1,13.0,116.4,1.87,47.0,0.09,Non-uniform
2022-01-11,788.9,118.34,207.52,5.51,312.24,27.54,1.11,Melamine,0.54,29.38,11.58,30.61,9.98,118.47,55.79,91.99,38.23,4.79,1081.57,0.22,0.048,15.53,206.6,6.38,2.87,94.2,3.21,92.0,Excellent,4.79,8.11,96.2,8.4,88.6,1.71,13.0,8.83,Non-uniform
2022-02-02,729.69,259.59,206.86,8.7,366.11,32.55,2.46,Melamine,0.31,41.59,23.86,32.67,13.12,176.16,80.84,70.94,36.51,3.6,1168.19,0.22,0.034,11.6,196.7,9.99,3.39,93.4,1.64,90.7,Excellent,3.72,8.02,87.6,5.3,96.1,1.51,78.0,0.46,Non-uniform
2022-04-24,795.57,218.5,226.06,11.87,337.0,24.81,1.79,Melamine,0.4,33.15,19.83,26.06,12.2,84.01,60.33,73.71,34.72,4.5,795.89,0.73,0.022,13.24,184.2,6.37,2.06,93.2,3.86,92.4,Good,0.91,16.51,87.9,11.0,119.5,2.25,49.0,9.98,Non-uniform
2022-10-02,798.43,178.67,203.88,8.56,322.7,33.8,2.49,Melamine,0.37,31.43,16.26,31.12,6.46,165.72,83.21,55.49,44.46,2.72,789.72,0.35,0.036,7.69,196.4,9.21,3.37,98.3,2.17,94.5,Fair,3.33,18.61,94.7,7.8,117.5,2.31,19.0,6.58,Non-uniform
2022-07-16,786.39,178.32,195.48,6.85,362.34,27.48,0.95,Phenol-formaldehyde,0.66,21.84,11.16,25.51,14.16,139.68,50.71,57.97,47.77,0.55,543.12,0.27,0.042,15.75,188.9,6.88,2.27,93.7,4.35,91.6,Poor,1.01,12.92,85.8,11.5,93.0,2.78,26.0,9.81,Non-uniform
2022-10-10,763.71,199.66,182.92,10.2,325.45,22.16,2.96,Melamine,0.39,37.18,11.74,-1.48,11.84,102.3,88.82,50.45,40.98,2.84,743.18,0.95,0.037,19.51,226.3,6.43,3.59,93.9,4.06,90.3,Poor,3.68,18.5,84.0,10.9,98.3,1.55,70.0,7.96,Non-uniform
2022-07-07,607.36,269.22,186.81,9.11,380.97,29.2,0.55,Urea-formaldehyde,0.63,45.3,19.59,21.68,9.71,150.98,77.02,64.81,44.02,0.29,560.51,0.8,0.048,16.12,222.2,10.28,4.46,98.5,3.5,92.0,Poor,1.2,3.69,96.0,13.9,110.9,2.43,80.0,9.86,Uniform
2022-09-16,714.89,169.25,215.03,10.63,364.9,35.7,2.3,Phenol-formaldehyde,0.48,22.28,21.91,7.67,6.16,172.54,68.06,59.36,32.41,0.9,1196.64,0.46,0.031,5.46,220.0,11.06,1.69,92.4,3.49,96.8,Good,3.58,5.72,85.0,8.8,92.4,2.73,79.0,5.08,Non-uniform
2022-08-11,662.69,164.48,220.29,8.46,336.64,33.24,0.92,Urea-formaldehyde,0.54,45.07,16.71,8.04,8.44,138.21,61.82,58.68,36.45,0.65,1077.71,0.16,0.035,9.46,210.5,7.49,4.34,93.0,3.01,98.8,Excellent,0.67,5.43,84.2,14.0,110.9,2.72,29.0,0.19,Uniform
2022-01-13,748.77,100.8,224.68,6.7,377.11,34.88,2.06,Urea-formaldehyde,0.49,25.0,11.01,19.87,5.14,98.39,50.24,80.24,49.05,0.59,528.17,0.95,0.037,13.23,204.7,9.33,1.22,90.2,4.81,97.6,Poor,2.61,17.61,88.8,8.8,86.2,1.5,74.0,8.16,Uniform
2022-07-15,766.34,168.13,226.37,5.26,318.57,22.69,0.95,Urea-formaldehyde,0.56,28.88,13.31,-1.65,5.64,92.66,77.17,62.8,33.77,2.77,500.5,0.94,0.019,9.88,229.0,10.72,3.91,92.7,2.72,90.7,Poor,0.06,12.29,92.8,5.4,99.6,2.12,50.0,3.47,Non-uniform
2022-02-25,609.61,178.06,218.6,5.85,350.95,22.52,1.46,Phenol-formaldehyde,0.6,30.82,13.55,26.93,8.48,169.95,88.05,53.64,36.14,1.51,981.93,0.51,0.045,13.61,214.9,9.99,4.12,98.4,2.78,97.7,Fair,1.47,19.29,81.0,14.5,93.3,2.23,64.0,9.45,Non-uniform
2022-01-18,749.88,244.11,201.0,5.01,383.13,31.98,2.97,Urea-formaldehyde,0.3,43.19,12.15,28.88,11.72,81.21,53.89,51.95,46.68,3.16,1026.48,0.28,0.021,17.9,202.1,7.09,4.36,91.0,4.79,95.2,Poor,4.25,11.02,91.1,8.6,110.3,2.86,23.0,4.41,Uniform
2022-11-27,714.2,134.38,214.32,10.85,386.37,35.22,1.26,Melamine,0.36,49.01,19.48,17.12,14.72,136.52,87.52,57.09,30.98,0.99,534.97,0.87,0.042,16.01,218.2,10.8,1.64,90.2,4.5,98.1,Fair,3.58,2.04,93.7,12.5,86.7,2.19,33.0,3.02,Uniform
2022-12-09,796.34,156.9,195.2,8.99,324.32,35.11,2.95,Phenol-formaldehyde,0.67,32.19,8.15,7.86,13.18,120.38,45.81,81.82,39.88,3.32,1303.24,0.9,0.028,8.42,193.2,11.69,2.62,93.4,4.44,92.1,Fair,2.83,5.49,94.9,10.6,102.0,1.93,76.0,8.52,Non-uniform
2022-07-24,781.07,217.89,193.3,6.84,360.01,24.64,2.26,Phenol-formaldehyde,0.64,38.05,16.05,20.29,10.56,63.31,32.96,98.77,30.87,2.5,1405.0,0.24,0.035,10.1,197.5,6.21,1.71,98.9,4.52,96.2,Poor,4.33,11.55,94.3,7.9,92.1,2.09,86.0,8.23,Uniform
2022-03-27,775.97,231.69,189.04,10.82,315.13,37.6,2.84,Melamine,0.59,33.31,20.87,0.12,7.94,122.86,83.98,86.69,42.61,4.85,1042.05,0.87,0.022,19.77,188.9,9.31,1.1,92.6,4.12,98.1,Poor,3.97,10.72,91.8,9.9,94.9,2.65,95.0,3.39,Non-uniform
2022-12-21,661.03,180.25,212.09,5.33,320.56,21.37,2.96,Melamine,0.43,22.71,8.37,2.24,8.17,122.82,57.07,82.66,31.3,4.77,964.59,0.97,0.041,19.86,189.1,6.74,1.48,93.6,4.91,92.5,Poor,3.57,18.1,86.3,11.9,90.1,1.64,48.0,8.96,Uniform
2022-04-09,711.58,246.86,223.16,6.39,335.54,22.45,1.44,Phenol-formaldehyde,0.34,37.27,14.12,15.2,11.85,149.02,32.72,89.72,44.89,1.33,1114.74,0.18,0.042,9.3,210.9,9.95,2.74,98.2,3.95,93.1,Good,4.68,17.89,94.9,8.0,91.1,2.01,43.0,4.13,Non-uniform
2022-11-01,613.56,213.87,203.38,11.93,364.88,23.62,2.34,Phenol-formaldehyde,0.49,33.11,14.07,24.95,10.18,145.35,56.02,91.64,47.61,1.34,501.95,0.59,0.045,14.95,180.2,11.63,2.76,92.8,2.2,91.4,Poor,3.07,2.41,98.3,12.0,113.9,2.31,93.0,0.24,Non-uniform
2022-12-20,634.77,276.21,226.15,6.58,315.21,30.0,2.01,Melamine,0.48,42.9,9.34,5.21,11.46,100.94,59.11,57.48,31.43,4.68,800.73,0.98,0.031,5.54,199.5,10.31,2.04,92.9,1.86,96.4,Excellent,2.11,4.66,96.2,14.0,91.3,1.63,71.0,9.42,Non-uniform
2022-09-29,671.12,198.6,182.43,10.1,320.57,36.44,0.62,Urea-formaldehyde,0.35,34.84,23.48,10.86,8.42,86.99,31.29,56.1,32.19,1.1,526.52,0.54,0.013,15.35,221.7,9.55,4.9,93.4,4.63,91.0,Fair,1.99,10.53,92.2,7.3,80.9,2.76,58.0,6.01,Uniform
2022-02-12,654.72,232.81,200.08,6.27,327.19,31.11,0.94,Urea-formaldehyde,0.52,39.89,14.12,14.91,10.73,114.23,79.86,85.51,34.39,0.52,985.98,0.6,0.034,18.65,208.9,9.18,3.11,92.8,4.04,91.6,Good,1.82,11.78,80.2,14.3,101.4,2.61,19.0,2.19,Non-uniform
2022-01-18,700.19,179.61,183.33,11.79,395.33,24.8,0.78,Urea-formaldehyde,0.78,49.9,17.99,-3.71,7.17,128.42,59.64,56.12,32.4,3.62,1268.5,0.45,0.04,19.32,197.6,10.91,1.58,93.8,4.95,93.8,Poor,1.36,9.16,92.3,11.5,117.8,2.53,82.0,8.64,Uniform
2022-01-14,707.63,294.35,195.89,7.27,366.77,30.11,0.94,Melamine,0.51,46.92,14.47,-0.06,14.09,168.36,56.17,77.98,45.62,3.26,1178.22,0.17,0.035,16.4,219.4,6.69,3.34,95.9,3.2,97.6,Poor,4.7,15.99,94.8,10.4,82.0,2.49,97.0,4.85,Non-uniform
2022-05-25,793.8,212.89,216.16,7.63,317.75,28.13,1.55,Phenol-formaldehyde,0.32,36.9,8.06,0.34,9.48,63.47,35.37,94.56,33.06,2.03,895.36,0.13,0.043,13.46,189.9,5.44,4.7,92.0,1.48,98.1,Good,3.54,11.38,84.6,5.4,117.7,2.83,56.0,9.26,Uniform
2022-05-06,707.88,202.73,207.71,11.71,373.55,34.54,1.1,Phenol-formaldehyde,0.64,28.13,17.42,33.27,6.53,123.22,79.63,99.0,36.91,0.55,1095.42,0.99,0.011,5.4,223.7,8.02,3.01,93.2,3.26,96.9,Good,0.27,12.6,97.9,11.6,99.7,2.17,83.0,8.69,Uniform
2022-03-31,677.28,256.27,226.6,7.89,385.01,32.93,1.02,Melamine,0.7,44.35,12.43,8.04,13.11,172.65,85.86,84.71,30.73,1.46,1261.31,0.34,0.021,13.7,222.1,11.57,1.19,93.4,4.09,95.9,Poor,3.96,0.68,97.1,12.8,83.1,1.91,91.0,7.4,Uniform
2022-04-01,715.44,183.93,190.15,11.78,306.5,25.14,0.73,Melamine,0.79,42.23,13.91,9.66,10.23,64.78,44.42,94.82,45.15,2.07,748.3,0.18,0.03,14.13,221.8,9.5,4.8,96.4,3.35,91.4,Poor,4.37,12.38,97.3,14.7,101.9,2.77,54.0,0.74,Non-uniform
2022-08-08,780.2,225.98,196.94,9.53,382.42,25.13,2.27,Phenol-formaldehyde,0.45,25.34,23.72,34.24,6.37,89.56,71.9,50.08,43.36,1.9,1314.16,0.3,0.039,13.09,205.3,6.27,1.95,94.3,4.53,94.2,Good,2.12,10.62,85.2,13.6,108.8,1.81,60.0,6.13,Uniform
2022-03-11,767.0,165.26,208.87,8.3,347.93,21.44,1.72,Phenol-formaldehyde,0.33,43.54,9.79,23.67,6.58,160.0,69.27,81.7,39.58,0.15,527.92,0.47,0.046,6.33,180.4,10.63,1.51,90.1,1.02,96.0,Good,3.66,13.25,81.7,11.7,114.0,1.63,21.0,7.04,Uniform
2022-10-23,720.41,147.67,217.51,7.12,382.34,26.38,2.52,Phenol-formaldehyde,0.6,34.46,15.65,15.09,8.34,151.3,75.81,74.54,42.52,2.8,938.41,0.54,0.048,7.57,187.4,10.14,3.41,96.8,1.9,99.4,Good,2.38,1.91,93.7,12.4,97.8,1.87,59.0,0.75,Uniform
2022-04-01,734.48,202.08,210.68,9.68,350.59,36.09,0.95,Urea-formaldehyde,0.49,37.29,22.95,5.15,7.78,129.01,46.64,72.24,45.85,4.25,1447.5,0.15,0.047,16.7,181.4,11.2,1.21,96.9,3.44,94.7,Poor,0.38,18.75,89.9,9.7,102.8,2.66,92.0,1.34,Non-uniform
2022-04-24,688.76,225.03,191.37,8.53,310.02,22.96,0.91,Phenol-formaldehyde,0.34,48.3,16.73,34.0,12.75,136.21,39.03,77.09,36.74,3.15,1201.75,0.27,0.034,19.15,189.9,9.97,1.05,96.3,1.17,98.8,Fair,0.76,20.0,85.8,12.0,105.2,1.82,73.0,9.37,Non-uniform
2022-05-11,699.44,271.66,189.42,10.33,325.23,32.94,1.22,Melamine,0.7,38.35,22.31,15.96,11.22,159.04,84.81,73.36,34.99,3.71,1147.14,0.85,0.034,17.33,181.0,7.63,4.9,98.6,1.93,93.0,Fair,0.38,9.94,98.9,14.0,92.5,1.66,99.0,5.59,Non-uniform
2022-03-17,737.21,241.28,211.85,7.98,307.75,28.25,1.33,Urea-formaldehyde,0.75,33.48,23.83,9.72,5.31,95.33,68.51,58.95,38.7,4.44,658.28,0.17,0.046,8.92,187.4,10.4,2.87,94.6,4.95,98.9,Fair,1.54,11.3,89.8,5.8,80.1,1.57,75.0,8.49,Non-uniform
2022-10-01,664.33,286.32,200.14,9.5,320.44,22.84,1.94,Melamine,0.3,32.66,8.91,24.55,5.13,106.02,30.21,88.56,42.34,0.35,1288.56,0.49,0.018,11.41,200.4,11.28,3.63,92.6,1.4,99.8,Poor,3.3,3.73,92.1,11.8,101.1,2.75,65.0,0.67,Non-uniform
2022-02-22,692.38,113.78,229.72,7.79,320.78,35.48,1.08,Urea-formaldehyde,0.79,41.68,10.48,25.02,8.56,82.84,81.31,56.89,41.14,4.63,946.86,0.33,0.048,9.89,187.0,7.67,4.36,93.9,4.67,98.1,Good,1.33,8.69,81.2,13.0,119.1,2.93,71.0,7.91,Uniform
2022-10-08,713.36,227.66,219.64,10.54,374.27,21.39,1.44,Urea-formaldehyde,0.53,35.27,22.71,34.04,9.81,86.2,55.13,70.94,45.52,4.86,896.73,0.83,0.033,18.5,184.3,6.67,3.71,95.8,3.04,96.4,Good,0.2,4.09,84.8,5.7,118.2,2.16,75.0,7.74,Non-uniform
2022-01-14,719.41,152.2,194.92,11.61,381.59,36.75,1.85,Phenol-formaldehyde,0.55,40.9,9.39,-3.77,7.94,138.25,61.15,77.57,41.47,1.66,1397.47,0.7,0.032,17.89,195.6,8.71,3.74,93.2,2.54,93.0,Poor,1.78,9.88,89.6,12.1,80.2,2.19,37.0,1.15,Non-uniform
2022-09-08,716.69,207.58,198.98,8.04,361.31,28.21,1.74,Phenol-formaldehyde,0.53,36.19,18.21,22.35,13.67,103.36,63.97,53.86,44.69,4.75,1341.3,0.42,0.015,16.27,228.5,5.39,2.2,91.1,4.57,92.0,Excellent,3.97,15.21,81.0,14.6,105.1,2.92,10.0,5.18,Uniform
2022-07-15,714.18,291.82,191.23,6.92,388.67,30.89,0.72,Phenol-formaldehyde,0.66,37.0,17.64,20.24,13.35,87.45,82.74,64.14,36.03,2.39,955.12,0.71,0.035,19.51,183.6,8.46,3.66,92.7,4.92,91.1,Excellent,4.29,12.56,85.7,5.8,105.5,2.12,74.0,5.36,Non-uniform
2022-08-18,684.46,193.55,195.35,7.8,375.4,25.64,1.51,Melamine,0.54,32.74,10.21,-0.7,11.66,161.01,50.25,72.7,33.36,4.67,501.22,0.95,0.034,13.53,206.5,11.76,1.97,90.9,3.24,95.5,Excellent,4.87,16.16,90.7,9.5,119.6,1.71,66.0,4.22,Non-uniform
2022-02-12,641.23,266.12,228.79,5.36,341.82,23.22,1.49,Phenol-formaldehyde,0.76,31.11,24.56,2.12,8.01,161.86,39.16,58.95,41.4,4.93,1180.59,0.91,0.032,12.91,220.3,10.45,1.19,95.4,2.21,98.8,Fair,2.31,10.94,80.7,10.7,101.7,1.63,70.0,0.21,Non-uniform
2022-09-23,663.75,142.38,226.15,9.1,388.14,31.0,2.73,Urea-formaldehyde,0.38,28.97,13.89,32.06,8.09,175.06,56.61,61.25,31.24,3.78,527.8,0.68,0.025,17.29,216.1,7.23,2.91,93.5,3.96,98.0,Poor,4.89,0.71,88.7,11.8,92.8,2.3,67.0,7.08,Non-uniform
2022-09-04,746.58,194.03,183.25,10.97,366.64,36.53,1.12,Phenol-formaldehyde,0.39,36.67,23.46,31.43,10.4,166.02,52.64,70.85,34.97,1.71,1338.08,0.19,0.043,9.96,204.8,7.31,4.66,90.4,1.41,96.5,Good,3.08,11.4,94.3,6.0,103.4,2.85,86.0,6.84,Non-uniform
2022-10-15,737.5,260.29,203.3,5.33,323.52,28.7,1.1,Phenol-formaldehyde,0.54,33.98,10.45,12.43,9.69,96.29,75.9,63.78,37.33,3.4,973.17,0.25,0.012,18.39,216.2,11.59,4.72,97.0,1.3,91.3,Excellent,1.68,10.95,97.9,14.8,95.1,2.65,32.0,0.28,Non-uniform
2022-11-12,742.0,280.71,201.1,9.79,367.42,31.56,1.94,Phenol-formaldehyde,0.67,41.31,17.85,30.3,12.06,171.67,81.77,71.54,34.22,2.92,794.19,0.43,0.048,19.11,225.6,9.52,3.48,96.9,3.66,96.4,Excellent,1.56,2.07,93.7,7.1,106.7,1.92,39.0,4.3,Non-uniform
